produto,categoria,mes,preco_unitario,quantidade_vendida
Caderno,Papelaria,Jan,12.5,30
Caderno,Papelaria,Fev,12.5,45
Caderno,Papelaria,Mar,12.5,28
Caderno,Papelaria,Abr,12.5,50
Lapis,Papelaria,Jan,2.0,80
Lapis,Papelaria,Fev,2.0,70
Lapis,Papelaria,Mar,2.0,90
Lapis,Papelaria,Abr,2.0,65
Caneta,Papelaria,Jan,3.5,60
Caneta,Papelaria,Fev,3.5,55
Caneta,Papelaria,Mar,3.5,48
Caneta,Papelaria,Abr,3.5,72
Marca-texto,Papelaria,Jan,6.0,20
Marca-texto,Papelaria,Fev,6.0,18
Marca-texto,Papelaria,Mar,6.0,25
Marca-texto,Papelaria,Abr,6.0,22
Mochila,Acessorios,Jan,150.0,5
Mochila,Acessorios,Fev,150.0,8
Mochila,Acessorios,Mar,150.0,4
Mochila,Acessorios,Abr,150.0,12
Estojo,Acessorios,Jan,35.0,10
Estojo,Acessorios,Fev,35.0,9
Estojo,Acessorios,Mar,35.0,14
Estojo,Acessorios,Abr,35.0,11
